date,open,high,low,close,dvol
2023-12-26,2271.42,2275.2,2148.1,2230.91,61.89
2023-12-27,2230.93,2393.39,2212.12,2380.66,66.96
2023-12-28,2380.54,2448.25,2336.7,2344.94,66.49
2023-12-29,2345.08,2386.99,2255.78,2299.37,66.24
2023-12-30,2299.17,2322.86,2267.63,2291.15,69.58
2023-12-31,2291.51,2320.48,2259.1,2281.07,70.15
2024-01-01,2281.03,2353.33,2264.86,2352.76,70.21
2024-01-02,2352.8,2433.19,2342.19,2356.16,68.55
2024-01-03,2356.27,2385.66,2100,2210.49,68.87
2024-01-04,2210.49,2297.64,2203.1,2269.47,69.48
2024-01-05,2269.48,2278.84,2207.6,2270.35,70.64
2024-01-06,2270.29,2271.72,2217,2241.87,73.05
2024-01-07,2241.81,2258.57,2206.66,2222.69,74.59
2024-01-08,2222.86,2360.81,2167.68,2332.51,69.84
2024-01-09,2332.52,2376.1,2228.42,2344.93,69.32
2024-01-10,2344.97,2644.42,2340.77,2584.77,69.57
2024-01-11,2584.85,2691.07,2567.08,2618.31,64.51
2024-01-12,2618.37,2717.89,2455,2522.03,63.99
2024-01-13,2522.02,2589.97,2496.41,2578.12,63.65
2024-01-14,2578.13,2578.96,2467.97,2470.66,65.08
2024-01-15,2470.65,2551.77,2468.6,2509.94,62.04
2024-01-16,2509.85,2614.04,2498.25,2586.83,61.58
2024-01-17,2586.46,2592.5,2505.19,2527.94,54.53
2024-01-18,2528.02,2547.67,2423.43,2468.82,47.31
2024-01-19,2468.82,2502.14,2412.4,2490.13,47.29
